treeid,datetime,F_kN,strap_ht_m,tilt,diam_cm
GP028,2020-07-29T16:28:41Z,NA,4.8,NA,20.2
GP028,2020-07-29T16:28:42Z,NA,4.8,NA,20.2
GP028,2020-07-29T16:28:43Z,NA,4.8,NA,20.2
GP028,2020-07-29T16:28:44Z,NA,4.8,NA,20.2
GP028,2020-07-29T16:28:45Z,NA,4.8,0,20.2
GP028,2020-07-29T16:28:46Z,NA,4.8,0,20.2
GP028,2020-07-29T16:28:47Z,NA,4.8,0,20.2
GP028,2020-07-29T16:28:48Z,NA,4.8,0,20.2
GP028,2020-07-29T16:28:49Z,NA,4.8,0,20.2
GP028,2020-07-29T16:28:50Z,NA,4.8,0,20.2
GP028,2020-07-29T16:28:51Z,NA,4.8,0,20.2
GP028,2020-07-29T16:28:52Z,NA,4.8,0,20.2
GP028,2020-07-29T16:28:53Z,NA,4.8,0,20.2
GP028,2020-07-29T16:28:54Z,NA,4.8,0,20.2
GP028,2020-07-29T16:28:55Z,NA,4.8,0,20.2
GP028,2020-07-29T16:28:56Z,NA,4.8,0,20.2
GP028,2020-07-29T16:28:57Z,NA,4.8,0,20.2
GP028,2020-07-29T16:28:58Z,NA,4.8,0,20.2
GP028,2020-07-29T16:28:59Z,NA,4.8,0,20.2
GP028,2020-07-29T16:29:00Z,NA,4.8,0,20.2
GP028,2020-07-29T16:29:01Z,NA,4.8,0,20.2
GP028,2020-07-29T16:29:02Z,NA,4.8,0,20.2
GP028,2020-07-29T16:29:03Z,NA,4.8,0,20.2
GP028,2020-07-29T16:29:04Z,NA,4.8,0,20.2
GP028,2020-07-29T16:29:05Z,NA,4.8,0,20.2
GP028,2020-07-29T16:29:06Z,NA,4.8,0,20.2
GP028,2020-07-29T16:29:07Z,NA,4.8,0,20.2
GP028,2020-07-29T16:29:08Z,NA,4.8,0,20.2
GP028,2020-07-29T16:29:09Z,NA,4.8,0,20.2
GP028,2020-07-29T16:29:10Z,NA,4.8,0,20.2
GP028,2020-07-29T16:29:11Z,NA,4.8,0,20.2
GP028,2020-07-29T16:29:12Z,NA,4.8,0,20.2
GP028,2020-07-29T16:29:13Z,NA,4.8,0,20.2
